signal_date,entry_date,exit_date,entry_px,exit_px,net_ret
2011-05-03,2011-05-04,2011-05-10,5567.7001953125,5541.25,-0.005745581002008948
2011-06-20,2011-06-21,2011-06-27,5280.7998046875,5526.60009765625,0.04549982387444662
2011-08-05,2011-08-08,2011-08-12,5083.85009765625,5072.9501953125,-0.0031415618503323195
2011-08-18,2011-08-19,2011-08-25,4859.2998046875,4839.60009765625,-0.005049649075547502
2011-09-12,2011-09-13,2011-09-19,4977.7998046875,5031.9501953125,0.009867823588548985
2011-09-22,2011-09-23,2011-09-29,4873.75,5015.4501953125,0.028045416720251515
2011-11-21,2011-11-22,2011-11-29,4794.85009765625,4805.10009765625,0.0011358931178206966
2011-12-08,2011-12-09,2011-12-15,4870.75,4746.35009765625,-0.026514342537202973
2012-01-30,2012-01-31,2012-02-06,5125.25,5361.64990234375,0.04507877036755237
2012-02-27,2012-02-28,2012-03-05,5310.5,5280.35009765625,-0.006671417581630812
2012-03-22,2012-03-23,2012-03-29,5255.64990234375,5178.85009765625,-0.015597880263665709
2012-05-08,2012-05-09,2012-05-15,4967.89990234375,4942.7998046875,-0.00604708562406886
2013-05-23,2013-05-24,2013-05-30,6010.7001953125,6124.0498046875,0.017839438898983984
2013-05-31,2013-06-03,2013-06-07,5997.35009765625,5881.0,-0.020380537090927242
2013-06-20,2013-06-21,2013-06-27,5639.89990234375,5682.35009765625,0.0065195595382814275
2013-08-06,2013-08-07,2013-08-14,5549.2998046875,5742.2998046875,0.03374471446030647
2013-08-16,2013-08-19,2013-08-23,5497.5498046875,5471.75,-0.005687952849642075
2013-08-27,2013-08-28,2013-09-03,5233.4501953125,5341.4501953125,0.01961617191254028
2013-09-03,2013-09-04,2013-09-11,5358.64990234375,5913.14990234375,0.10237443235232058
2013-09-23,2013-09-24,2013-09-30,5855.0,5735.2998046875,-0.021423340766564825
2013-11-21,2013-11-22,2013-11-28,6027.35009765625,6091.85009765625,0.009690842237169317
2014-01-27,2014-01-28,2014-02-03,6131.85009765625,6001.7998046875,-0.02218745899113539
2014-07-08,2014-07-09,2014-07-15,7637.9501953125,7526.64990234375,-0.015557123545746343
2015-01-06,2015-01-07,2015-01-13,8118.64990234375,8299.400390625,0.021241677525460245
2015-03-09,2015-03-10,2015-03-16,8769.75,8633.150390625,-0.01656033498217291
2015-03-26,2015-03-27,2015-04-06,8396.0,8659.900390625,0.03040057894811543
2015-05-06,2015-05-07,2015-05-13,8077.0,8235.4501953125,0.01859816515219581
2015-06-02,2015-06-03,2015-06-09,8232.4501953125,8022.39990234375,-0.026489091466429304
2015-08-24,2015-08-25,2015-08-31,7895.39990234375,7971.2998046875,0.008603890073354492
2015-09-01,2015-09-02,2015-09-08,7856.64990234375,7688.25,-0.0224123124721608
2015-09-22,2015-09-23,2015-09-30,7737.35009765625,7948.89990234375,0.026314364136911905
2016-01-07,2016-01-08,2016-01-14,7611.64990234375,7536.7998046875,-0.01082347286386498
2016-02-11,2016-02-12,2016-02-18,7023.64990234375,7191.75,0.022909833319336492
2016-04-05,2016-04-06,2016-04-12,7636.0498046875,7708.9501953125,0.008537648190882097
2016-06-24,2016-06-27,2016-07-01,8039.35009765625,8328.349609375,0.03491250203547769
2016-11-11,2016-11-15,2016-11-21,8284.849609375,7929.10009765625,-0.043896521018342405
2018-02-02,2018-02-05,2018-02-09,10604.2998046875,10454.9501953125,-0.015069473477597795
2018-10-04,2018-10-05,2018-10-11,10514.099609375,10234.650390625,-0.027551631187618608
2018-10-11,2018-10-12,2018-10-19,10331.5498046875,10303.5498046875,-0.003707115975056019
2019-07-08,2019-07-09,2019-07-15,11531.599609375,11588.349609375,0.003916660259715821
2019-09-03,2019-09-04,2019-09-11,10790.400390625,11035.7001953125,0.021710745359703854
2020-02-03,2020-02-04,2020-02-10,11786.25,12031.5,0.01978766353251782
